acronym,family,species,cover_inventory,main_use,analyse_article,neotropical,n
ACACHI,Leguminosae,Acacia hindsii,0.006955844,N-fixing,1,1,287
ACACPE,Leguminosae,Acacia pennatula,0.022258702,N-fixing,1,1,1375
ACACPI,Leguminosae,Acacia picachensis,0.008347013,N-fixing,1,1,199
ACOSPA,Leguminosae,Acosmium panamense,0.261539746,Timber,1,1,217
ALBIGU,Leguminosae,Albizia guachapele,0.698366768,Timber,1,1,281
SAMASA,Leguminosae,Albizia saman,1.435686264,Timber,1,1,359
ANACEX,Anacardiaceae,Anacardium excelsum,0.189198965,Timber,1,1,234
ANACOC,Anacardiaceae,Anacardium occidentale,0.32970702,Fruit,1,1,1247
ANDIIN,Leguminosae,Andira inermis,0.392309619,Timber,1,1,808
ANNOCH,Annonaceae,Annona cherimola,0.026432208,Fruit,1,1,870
ANNOMU,Annonaceae,Annona muricata,0.15859325,Fruit,1,1,564
ANNOPU,Annonaceae,Annona purpurea,0.059820261,Fruit,1,1,238
ANNORE,Annonaceae,Annona reticulata,0.063993768,Fruit,1,1,688
ANNOSQ,Annonaceae,Annona squamosa,0.059820261,Fruit,1,1,456
ARTOAL,Moraceae,Artocarpus altilis,0.01252052,Fruit,1,0,149
ASTRGR,Anacardiaceae,Astronium graveolens,0.182243121,Timber,1,1,557
BACTGA,Arecaceae,Bactris gasipaes,0.46325923,Fruit,1,1,170
BROSAL,Moraceae,Brosimum alicastrum,0.249019226,Fruit,1,1,1373
BURSSI,Burseraceae,Bursera simaruba,4.767535683,Timber,1,1,3316
BYRSCR,Malpighiaceae,Byrsonima crassifolia,2.09927381,Fruit,1,1,2152
CALOBR,Clusiaceae,Calophyllum brasiliense,0.116858184,Timber,1,1,1386
CALYCA,Rubiaceae,Calycophyllum candidissimum,0.108511171,Timber,1,1,477
CARAGU,Meliaceae,Carapa guianensis,0.069558443,Timber,1,1,905
CASSGR,Leguminosae,Cassia grandis,0.392309619,Timber,1,1,381
CECROB,Urticaceae,Cecropia obtusifolia,0.107120002,Timber,1,1,572
CECRPE,Urticaceae,Cecropia peltata,0.20728416,Timber,1,1,830
CEDROD,Meliaceae,Cedrela odorata,3.973178264,Timber,1,1,1734
CEIBPE,Malvaceae,Ceiba pentandra,0.125205197,Timber,1,1,773
CHRYCA,Sapotaceae,Chrysophyllum cainito,0.03617039,Fruit,1,1,516
CHRYME,Sapotaceae,Chrysophyllum mexicanum,0.075123118,Fruit,1,1,796
CHRYOL,Sapotaceae,Chrysophyllum oliviforme,0.04869091,Fruit,1,1,100
CITRAUR,Rutaceae,Citrus aurantiifolia,0.204501822,Fruit,1,0,1330
CITRLI,Rutaceae,Citrus limon,0.230934031,Fruit,1,0,299
CITRRE,Rutaceae,Citrus reticulata,0.033388053,Fruit,1,0,152
CITRSI,Rutaceae,Citrus sinensis,1.688878996,Fruit,1,0,257
CORDAL,Boraginaceae,Cordia alliodora,11.63851868,Timber,1,1,1474
DALBGL,Leguminosae,Dalbergia glomerata,0.264322083,Timber,1,1,149
DIPHAM,Leguminosae,Diphysa americana,0.456303386,Timber,1,1,277
ENTECY,Leguminosae,Enterolobium cyclocarpum,2.085362121,Timber,1,1,556
ERYTBE,Leguminosae,Erythrina berteroana,0.492473776,N-fixing,1,1,293
ERYTCO,Leguminosae,Erythrina costaricensis,2.776773045,N-fixing,1,1,171
ERYTLA,Leguminosae,Erythrina lanata,0.005564675,N-fixing,1,1,194
ERYTPO,Leguminosae,Erythrina poeppigiana,1.567847305,N-fixing,1,1,309
GENIAM,Rubiaceae,Genipa americana,0.239281044,Fruit,1,1,1318
GLIRSE,Leguminosae,Gliricidia sepium,12.3257561,N-fixing,1,1,864
GUAZUL,Malvaceae,Guazuma ulmifolia,8.753234468,Timber,1,1,5441
HYMECO,Leguminosae,Hymenaea courbaril,0.198937147,Timber,1,1,1228
INGACL,Leguminosae,Inga calderonii,0.049323259,N-fixing,1,1,12865
INGACO,Leguminosae,Inga cocleensis,0.049323259,N-fixing,1,1,94
INGADE,Leguminosae,Inga densiflora,0.049323259,N-fixing,1,1,10544
INGAED,Leguminosae,Inga edulis,0.049323259,N-fixing,1,1,10953
INGAJI,Leguminosae,Inga jinicuil,0.201719485,N-fixing,1,1,168
INGALA,Leguminosae,Inga latibracteata,0.049323259,N-fixing,1,1,96
INGALR,Leguminosae,Inga laurina,0.049323259,N-fixing,1,1,930
INGALE,Leguminosae,Inga leiocalycina,0.004173507,N-fixing,1,1,306
INGAMI,Leguminosae,Inga micheliana,0.087643638,N-fixing,1,1,82
INGANO,Leguminosae,Inga nobilis,0.001391169,N-fixing,1,1,1011
INGAOE,Leguminosae,Inga oerstediana,0.843048329,N-fixing,1,1,526
INGAPA,Leguminosae,Inga pavoniana,0.077905456,N-fixing,1,1,224
INGAPU,Leguminosae,Inga punctata,0.382571437,N-fixing,1,1,1242
INGARU,Leguminosae,Inga ruiziana,0.086252469,N-fixing,1,1,495
INGASM,Leguminosae,Inga samanensis,0.049323259,N-fixing,1,1,95
INGASS,Leguminosae,Inga sapindoides,0.049323259,N-fixing,1,1,11644
INGASE,Leguminosae,Inga semialata,0.049323259,N-fixing,1,1,11112
INGAST,Leguminosae,Inga spectabilis,0.049323259,N-fixing,1,1,11321
INGAVE,Leguminosae,Inga vera,0.959906513,N-fixing,1,1,2450
JATRCU,Euphorbiaceae,Jatropha curcas,0.153028575,N-fixing,1,1,683
JUGLOL,Juglandaceae,Juglans olanchana,0.161375588,Timber,1,1,104
LEUCLEU,Leguminosae,Leucaena leucocephala,0.193372472,N-fixing,1,1,1518
MACLTI,Moraceae,Maclura tinctoria,0.299101305,Timber,1,1,1252
MAMMAM,Calophyllaceae,Mammea americana,0.013911689,Fruit,1,1,112
MANGIN,Anacardiaceae,Mangifera indica,0.811051445,Fruit,1,0,620
MANIZA,Sapotaceae,Manilkara zapota,0.026432208,Fruit,1,1,633
MELIBI,Sapindaceae,Melicoccus bijugatus,0.054255586,Fruit,1,1,145
OCHRPY,Malvaceae,Ochroma pyramidale,0.052864417,Timber,1,1,632
PACHQU,Malvaceae,Pachira quinata,2.508277455,Timber,1,1,175
PENTMA,Leguminosae,Pentaclethra macroloba,0.274060265,Timber,1,1,270
PERSAM,Lauraceae,Persea americana,1.001641579,Fruit,1,1,1434
PERYGR,Compositae,Perymenium grande,0.197545978,Timber,1,1,258
PIMEDI,Myrtaceae,Pimenta dioica,0.136334548,Fruit,1,1,492
PINUOO,Pinaceae,Pinus oocarpa,0.460476893,Timber,1,1,789
PLATDI,Leguminosae,Platymiscium dimorphandrum,0.087643638,Timber,1,1,84
POUTSA,Sapotaceae,Pouteria sapota,0.286580785,Fruit,1,1,256
PSIDFR,Myrtaceae,Psidium friedrichsthalianum,0.022258702,Fruit,1,1,68
PSIDGU,Myrtaceae,Psidium guajava,2.252302384,Fruit,1,1,1465
QUEROL,Fagaceae,Quercus oleoides,0.196154809,Timber,1,1,578
SCHIPA,Leguminosae,Schizolobium parahyba,0.293536629,Timber,1,1,410
SENNAT,Leguminosae,Senna atomaria,0.037561559,N-fixing,1,1,1530
SIMAGL,Simaroubaceae,Simarouba glauca,0.112684678,Timber,1,1,341
SPONDU,Anacardiaceae,Spondias dulcis,0.011129351,Fruit,1,1,68
SPONMO,Anacardiaceae,Spondias mombin,0.69558443,Fruit,1,1,1256
SPONPU,Anacardiaceae,Spondias purpurea,0.616287805,Fruit,1,1,634
SWIEHU,Meliaceae,Swietenia humilis,0.091817145,Timber,1,1,411
SWIEMA,Meliaceae,Swietenia macrophylla,0.920953785,Timber,1,1,821
SYZYJA,Myrtaceae,Syzygium jambos,0.249019226,Fruit,1,0,864
SYZYMA,Myrtaceae,Syzygium malaccense,0.043126235,Fruit,1,0,163
TABERO,Bignoniaceae,Tabebuia rosea,6.435547147,Timber,1,1,673
TAMAIN,Leguminosae,Tamarindus indica,0.086252469,Fruit,1,0,642
TERMAM,Combretaceae,Terminalia amazonia,0.123814029,Timber,1,1,715
TERMOB,Combretaceae,Terminalia oblonga,0.176678445,Timber,1,1,380
COFFAR,Rubiaceae,Coffea arabica,NA,Crop,NA,NA,NA
THEOCA,Malvaceae,Theobroma cacao,NA,Crop,NA,NA,NA
