acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
JUGLOL,COFFAR_85,349,9945,4265,8,NA,69.9859254046446,30.014074595355382,0.05629838142153413,-29.957776213933847,Juglans olanchana,Timber,0.161375588
JUGLOL,THEOCA_85,7291,9917,6543,122,NA,60.24908869987849,39.75091130012151,0.741190765492102,-39.00972053462941,Juglans olanchana,Timber,0.161375588
LEUCLEU,COFFAR_45,3554,8862,1659,492,NA,84.23153692614771,15.768463073852296,4.676361562589108,-11.092101511263188,Leucaena leucocephala,N-fixing,0.193372472
LEUCLEU,THEOCA_45,7180,14695,880,1118,NA,94.34991974317816,5.6500802568218305,7.178170144462278,1.5280898876404478,Leucaena leucocephala,N-fixing,0.193372472
LEUCLEU,COFFAR_85,3413,8424,2097,633,NA,80.06843455945253,19.931565440547477,6.016538351867693,-13.915027088679784,Leucaena leucocephala,N-fixing,0.193372472
LEUCLEU,THEOCA_85,7065,14482,1093,1233,NA,92.98234349919743,7.017656500802569,7.9165329052969495,0.8988764044943807,Leucaena leucocephala,N-fixing,0.193372472
MACLTI,COFFAR_45,3583,8387,2047,550,NA,80.38144527506229,19.618554724937702,5.271228675483995,-14.347326049453708,Maclura tinctoria,Timber,0.299101305
MACLTI,THEOCA_45,4368,15280,2150,2075,NA,87.6649454962708,12.335054503729202,11.904761904761903,-0.43029259896729855,Maclura tinctoria,Timber,0.299101305
MACLTI,COFFAR_85,3436,8288,2146,697,NA,79.43262411347519,20.56737588652482,6.680084339658808,-13.887291546866013,Maclura tinctoria,Timber,0.299101305
MACLTI,THEOCA_85,4132,15355,2075,2311,NA,88.09523809523809,11.904761904761903,13.258749282845669,1.3539873780837652,Maclura tinctoria,Timber,0.299101305
MAMMAM,COFFAR_45,10353,3144,727,343,NA,81.2193231723069,18.780676827693103,8.860759493670885,-9.919917334022218,Mammea americana,Fruit,0.013911689
MAMMAM,THEOCA_45,5674,15846,1245,1108,NA,92.71546427944533,7.284535720554677,6.4829442396583,-0.8015914808963771,Mammea americana,Fruit,0.013911689
MAMMAM,COFFAR_85,10358,2933,938,338,NA,75.76853526220614,24.23146473779385,8.731593903384137,-15.499870834409712,Mammea americana,Fruit,0.013911689
MAMMAM,THEOCA_85,5497,15667,1424,1285,NA,91.66812942484349,8.331870575156515,7.518577028845591,-0.8132935463109234,Mammea americana,Fruit,0.013911689
MANGIN,COFFAR_45,1192,9475,3837,63,NA,71.17638221153845,28.823617788461537,0.4732572115384615,-28.350360576923077,Mangifera indica,Fruit,0.811051445
MANGIN,THEOCA_45,3848,16592,2998,435,NA,84.69627360898417,15.303726391015823,2.22052067381317,-13.083205717202652,Mangifera indica,Fruit,0.811051445
MANGIN,COFFAR_85,1205,8107,5205,50,NA,60.89993990384615,39.10006009615385,0.37560096153846156,-38.72445913461539,Mangifera indica,Fruit,0.811051445
MANGIN,THEOCA_85,3832,15814,3776,451,NA,80.72485962225625,19.275140377743746,2.3021949974476774,-16.972945380296068,Mangifera indica,Fruit,0.811051445
MANIZA,COFFAR_45,6576,6028,619,1344,NA,90.68752820821423,9.312471791785768,20.219647961486384,10.907176169700616,Manilkara zapota,Fruit,0.026432208
MANIZA,THEOCA_45,4546,17389,1234,704,NA,93.37378510444074,6.626214895559254,3.780271707028943,-2.8459431885303115,Manilkara zapota,Fruit,0.026432208
MANIZA,COFFAR_85,6430,5863,784,1490,NA,88.2052053557996,11.794794644200392,22.416127576350235,10.621332932149842,Manilkara zapota,Fruit,0.026432208
MANIZA,THEOCA_85,4647,16984,1639,603,NA,91.19905493207324,8.800945067926758,3.237931589969393,-5.563013477957365,Manilkara zapota,Fruit,0.026432208
MELIBI,COFFAR_45,9369,3721,1439,38,NA,72.1124031007752,27.887596899224803,0.7364341085271318,-27.151162790697672,Melicoccus bijugatus,Fruit,0.054255586
MELIBI,THEOCA_45,6265,13854,1232,2522,NA,91.83348800212117,8.166511997878828,16.71748641124221,8.550974413363381,Melicoccus bijugatus,Fruit,0.054255586
MELIBI,COFFAR_85,9332,3630,1530,75,NA,70.34883720930233,29.651162790697676,1.4534883720930232,-28.197674418604652,Melicoccus bijugatus,Fruit,0.054255586
MELIBI,THEOCA_85,4765,13961,1125,4022,NA,92.54275487206681,7.4572451279331835,26.660479915153125,19.20323478721994,Melicoccus bijugatus,Fruit,0.054255586
OCHRPY,COFFAR_45,7820,4945,1788,14,NA,73.4442299123719,26.5557700876281,0.20793108569731175,-26.34783900193079,Ochroma pyramidale,Timber,0.052864417
OCHRPY,THEOCA_45,5718,14569,3345,241,NA,81.3274533884113,18.672546611588704,1.3453165122250754,-17.32723009936363,Ochroma pyramidale,Timber,0.052864417
OCHRPY,COFFAR_85,7824,4656,2077,10,NA,69.1519382147631,30.84806178523689,0.1485222040695084,-30.699539581167382,Ochroma pyramidale,Timber,0.052864417
OCHRPY,THEOCA_85,5706,13951,3963,253,NA,77.87763760187562,22.122362398124373,1.4123032265267388,-20.710059171597635,Ochroma pyramidale,Timber,0.052864417
PACHQU,COFFAR_45,11132,1905,1440,90,NA,56.95067264573991,43.04932735426009,2.690582959641256,-40.35874439461884,Pachira quinata,Timber,2.508277455
PACHQU,THEOCA_45,14510,6744,2420,199,NA,73.59231776516805,26.407682234831952,2.171540811872545,-24.236141422959406,Pachira quinata,Timber,2.508277455
PACHQU,COFFAR_85,11150,1927,1418,72,NA,57.6083707025411,42.39162929745889,2.1524663677130045,-40.23916292974589,Pachira quinata,Timber,2.508277455
PACHQU,THEOCA_85,14535,6768,2396,174,NA,73.85421213443911,26.145787865560887,1.89873417721519,-24.247053688345698,Pachira quinata,Timber,2.508277455
PENTMA,COFFAR_45,9761,4092,654,60,NA,86.21997471554994,13.780025284450062,1.2642225031605563,-12.515802781289505,Pentaclethra macroloba,Timber,0.274060265
PENTMA,THEOCA_45,5937,16272,1442,222,NA,91.85954612171165,8.140453878288358,1.2532460200970983,-6.88720785819126,Pentaclethra macroloba,Timber,0.274060265
PENTMA,COFFAR_85,9775,3745,1001,46,NA,78.90855457227138,21.091445427728615,0.9692372524230931,-20.122208175305524,Pentaclethra macroloba,Timber,0.274060265
PENTMA,THEOCA_85,5910,15660,2054,249,NA,88.40465168793045,11.595348312069548,1.4056678333521508,-10.189680478717397,Pentaclethra macroloba,Timber,0.274060265
PERSAM,COFFAR_45,1117,9326,4124,0,NA,69.33828996282529,30.66171003717472,0,-30.66171003717472,Persea americana,Fruit,1.001641579
PERSAM,THEOCA_45,5375,11943,6522,33,NA,64.67912266450041,35.320877335499596,0.17871649065800163,-35.14216084484159,Persea americana,Fruit,1.001641579
PERSAM,COFFAR_85,1117,7578,5872,0,NA,56.34200743494424,43.657992565055764,0,-43.657992565055764,Persea americana,Fruit,1.001641579
PERSAM,THEOCA_85,5400,9457,9008,8,NA,51.21581370159761,48.78418629840238,0.04332520985648524,-48.7408610885459,Persea americana,Fruit,1.001641579
PERYGR,COFFAR_45,3809,6932,3808,18,NA,64.54376163873371,35.456238361266294,0.16759776536312848,-35.28864059590317,Perymenium grande,Timber,0.197545978
PERYGR,THEOCA_45,16145,2097,5602,29,NA,27.237303545915054,72.76269645408495,0.37667229510326017,-72.38602415898168,Perymenium grande,Timber,0.197545978
PERYGR,COFFAR_85,3808,5755,4985,19,NA,53.58472998137802,46.415270018621975,0.17690875232774675,-46.23836126629423,Perymenium grande,Timber,0.197545978
PERYGR,THEOCA_85,16148,1166,6533,26,NA,15.144824003117288,84.85517599688272,0.33770619560981946,-84.5174698012729,Perymenium grande,Timber,0.197545978
PIMEDI,COFFAR_45,5024,7451,1933,159,NA,79.40110826939471,20.598891730605285,1.6943734015345269,-18.904518329070758,Pimenta dioica,Fruit,0.136334548
PIMEDI,THEOCA_45,6477,15319,1870,207,NA,89.12094944441212,10.879050555587876,1.204258537436733,-9.674792018151143,Pimenta dioica,Fruit,0.136334548
PIMEDI,COFFAR_85,5079,6294,3090,104,NA,67.07161125319693,32.928388746803066,1.1082693947144073,-31.820119352088657,Pimenta dioica,Fruit,0.136334548
PIMEDI,THEOCA_85,6530,14196,2993,154,NA,82.5877014369655,17.412298563034497,0.895921810460178,-16.51637675257432,Pimenta dioica,Fruit,0.136334548
PINUOO,COFFAR_45,3816,8427,2294,30,NA,78.6027422815036,21.39725771849641,0.27982464322357986,-21.117433075272828,Pinus oocarpa,Timber,0.460476893
PINUOO,THEOCA_45,17877,3553,2056,387,NA,63.344624710287036,36.65537528971296,6.899625601711536,-29.755749688001423,Pinus oocarpa,Timber,0.460476893
PINUOO,COFFAR_85,3833,7574,3147,13,NA,70.64639492584647,29.35360507415353,0.12125734539688462,-29.232347728756647,Pinus oocarpa,Timber,0.460476893
PINUOO,THEOCA_85,18036,2670,2939,228,NA,47.60206810483152,52.39793189516848,4.064895703333928,-48.33303619183455,Pinus oocarpa,Timber,0.460476893
PLATDI,COFFAR_45,3703,8544,2064,256,NA,80.54298642533936,19.457013574660635,2.413273001508296,-17.04374057315234,Platymiscium dimorphandrum,Timber,0.087643638
PLATDI,THEOCA_45,4841,16745,1833,454,NA,90.1334912261815,9.866508773818495,2.4437506728388416,-7.422758100979653,Platymiscium dimorphandrum,Timber,0.087643638
PLATDI,COFFAR_85,3720,7859,2749,239,NA,74.08559577677225,25.914404223227756,2.2530165912518854,-23.66138763197587,Platymiscium dimorphandrum,Timber,0.087643638
PLATDI,THEOCA_85,4822,16216,2362,473,NA,87.28603724835827,12.713962751641727,2.5460221767682203,-10.167940574873507,Platymiscium dimorphandrum,Timber,0.087643638
POUTSA,COFFAR_45,8116,5195,855,401,NA,85.86776859504133,14.132231404958679,6.628099173553719,-7.50413223140496,Pouteria sapota,Fruit,0.286580785
POUTSA,THEOCA_45,1645,20617,632,979,NA,97.02574238787707,2.9742576121229236,4.607275636500542,1.633018024377618,Pouteria sapota,Fruit,0.286580785
POUTSA,COFFAR_85,8114,4946,1104,403,NA,81.75206611570248,18.24793388429752,6.661157024793389,-11.58677685950413,Pouteria sapota,Fruit,0.286580785
POUTSA,THEOCA_85,1487,20354,895,1137,NA,95.78803708409808,4.211962915901925,5.350840039531271,1.1388771236293467,Pouteria sapota,Fruit,0.286580785
PSIDFR,COFFAR_45,4387,6430,3375,375,NA,65.57878633350332,34.42121366649668,3.8245792962774097,-30.596634370219274,Psidium friedrichsthalianum,Fruit,0.022258701999999998
PSIDFR,THEOCA_45,7495,13186,2401,791,NA,84.59613780714697,15.403862192853019,5.074741771989479,-10.32912042086354,Psidium friedrichsthalianum,Fruit,0.022258701999999998
PSIDFR,COFFAR_85,4349,5583,4222,413,NA,56.940336562978075,43.059663437021925,4.212136664966853,-38.84752677205507,Psidium friedrichsthalianum,Fruit,0.022258701999999998
PSIDFR,THEOCA_85,7146,12674,2913,1140,NA,81.31134920125746,18.688650798742543,7.3137871303008914,-11.374863668441652,Psidium friedrichsthalianum,Fruit,0.022258701999999998
PSIDGU,COFFAR_45,120,12386,2060,1,NA,85.73999723106742,14.260002768932575,0.006922331441229407,-14.253080437491345,Psidium guajava,Fruit,2.252302384
PSIDGU,THEOCA_45,2884,15918,5023,48,NA,76.01356191203858,23.986438087961414,0.22921541473664106,-23.757222673224774,Psidium guajava,Fruit,2.252302384
PSIDGU,COFFAR_85,120,11255,3191,1,NA,77.91084037103695,22.089159628963035,0.006922331441229407,-22.082237297521807,Psidium guajava,Fruit,2.252302384
PSIDGU,THEOCA_85,2881,14334,6607,51,NA,68.44945322572943,31.550546774270572,0.24354137815768112,-31.307005396112892,Psidium guajava,Fruit,2.252302384
QUEROL,COFFAR_45,6721,5511,2170,165,NA,71.74847025126937,28.251529748730636,2.148157791954173,-26.103371956776463,Quercus oleoides,Timber,0.196154809
QUEROL,THEOCA_45,8738,11861,3076,198,NA,79.40684207002745,20.593157929972552,1.3255673830086363,-19.267590546963916,Quercus oleoides,Timber,0.196154809
QUEROL,COFFAR_85,6781,4519,3162,105,NA,58.83348522327822,41.16651477672178,1.3670095039708372,-39.79950527275095,Quercus oleoides,Timber,0.196154809
QUEROL,THEOCA_85,8776,11068,3869,160,NA,74.09787775323024,25.902122246769764,1.071165562027181,-24.83095668474258,Quercus oleoides,Timber,0.196154809
SAMASA,COFFAR_45,7840,5343,1055,329,NA,83.51047202250703,16.489527977492966,5.142231947483589,-11.347296030009376,Albizia saman,Timber,1.435686264
SAMASA,THEOCA_45,3590,17783,544,1956,NA,97.03170186064277,2.9682981393572323,10.672777868718285,7.7044797293610525,Albizia saman,Timber,1.435686264
SAMASA,COFFAR_85,7815,5234,1164,354,NA,81.80681462957175,18.193185370428257,5.5329790559549865,-12.660206314473271,Albizia saman,Timber,1.435686264
SAMASA,THEOCA_85,3105,17799,528,2441,NA,97.11900474709445,2.880995252905549,13.319146614284936,10.438151361379386,Albizia saman,Timber,1.435686264
SCHIPA,COFFAR_45,5817,7511,1087,152,NA,87.3575250058153,12.642474994184694,1.767852989067225,-10.87462200511747,Schizolobium parahyba,Timber,0.293536629
SCHIPA,THEOCA_45,2046,20223,1079,525,NA,94.93474791099428,5.065252089005727,2.464557318561637,-2.60069477044409,Schizolobium parahyba,Timber,0.293536629
SCHIPA,COFFAR_85,5875,7147,1451,94,NA,83.12398232147011,16.87601767852989,1.0932775063968365,-15.782740172133055,Schizolobium parahyba,Timber,0.293536629
SCHIPA,THEOCA_85,1927,19873,1429,644,NA,93.29170969861985,6.708290301380152,3.0231903107689417,-3.68509999061121,Schizolobium parahyba,Timber,0.293536629
SENNAT,COFFAR_45,7576,5812,586,593,NA,90.84088777743045,9.159112222569552,9.268521412941544,0.10940919037199137,Senna atomaria,N-fixing,0.037561559
SENNAT,THEOCA_45,15714,4966,161,3032,NA,96.85976204408036,3.140237955919641,59.137897405890385,55.99765944997074,Senna atomaria,N-fixing,0.037561559
SENNAT,COFFAR_85,7285,5767,631,884,NA,90.13754298218193,9.862457017818068,13.816817755548607,3.954360737730539,Senna atomaria,N-fixing,0.037561559
SENNAT,THEOCA_85,15056,4982,145,3690,NA,97.17183538131461,2.828164618685391,71.97191339964891,69.14374878096352,Senna atomaria,N-fixing,0.037561559
SIMAGL,COFFAR_45,4593,8260,1097,617,NA,88.27615688789142,11.72384311210858,6.593993801432083,-5.129849310676498,Simarouba glauca,Timber,0.112684678
SIMAGL,THEOCA_45,3766,18556,1393,158,NA,93.01719384430297,6.982806155697027,0.7920196501077748,-6.190786505589252,Simarouba glauca,Timber,0.112684678
SIMAGL,COFFAR_85,4648,7640,1717,562,NA,81.6501015282676,18.34989847173239,6.0061985679170675,-12.343699903815324,Simarouba glauca,Timber,0.112684678
SIMAGL,THEOCA_85,3780,17599,2350,144,NA,88.21996090029576,11.780039099704245,0.7218406937691112,-11.058198405935133,Simarouba glauca,Timber,0.112684678
SPONDU,COFFAR_45,4089,9988,267,223,NA,97.39639200390053,2.603607996099464,2.174549000487567,-0.42905899561189687,Spondias dulcis,Fruit,0.011129350999999999
SPONDU,THEOCA_45,1609,21291,871,102,NA,96.06984929158018,3.9301507084198177,0.46024727010197636,-3.4699034383178415,Spondias dulcis,Fruit,0.011129350999999999
SPONDU,COFFAR_85,3987,9968,287,325,NA,97.20136518771331,2.7986348122866893,3.1691857630424183,0.37055095075572897,Spondias dulcis,Fruit,0.011129350999999999
SPONDU,THEOCA_85,1544,21321,841,167,NA,96.20521613572782,3.7947838642721776,0.75354209908853,-3.0412417651836474,Spondias dulcis,Fruit,0.011129350999999999
SPONMO,COFFAR_45,5554,7510,413,1090,NA,94.787328032311,5.2126719676890065,13.757415120535152,8.544743152846145,Spondias mombin,Fruit,0.69558443
SPONMO,THEOCA_45,334,22873,200,466,NA,99.13318597494907,0.8668140250509253,2.019676678368656,1.1528626533177306,Spondias mombin,Fruit,0.69558443
SPONMO,COFFAR_85,5506,7382,541,1138,NA,93.17177836678026,6.82822163321974,14.363246245109176,7.535024611889436,Spondias mombin,Fruit,0.69558443
SPONMO,THEOCA_85,362,22856,217,438,NA,99.05950678281975,0.940493217180254,1.8983227148615265,0.9578294976812725,Spondias mombin,Fruit,0.69558443
SPONPU,COFFAR_45,2120,11247,927,273,NA,92.38541153277477,7.614588467225233,2.2424839822572697,-5.372104484967963,Spondias purpurea,Fruit,0.616287805
SPONPU,THEOCA_45,3088,18782,818,1185,NA,95.8265306122449,4.173469387755102,6.045918367346939,1.8724489795918373,Spondias purpurea,Fruit,0.616287805
SPONPU,COFFAR_85,2114,10998,1176,279,NA,90.34006899950715,9.659931000492854,2.291769344504682,-7.368161655988172,Spondias purpurea,Fruit,0.616287805
SPONPU,THEOCA_85,2776,18694,906,1497,NA,95.37755102040816,4.622448979591836,7.637755102040816,3.0153061224489797,Spondias purpurea,Fruit,0.616287805
SWIEHU,COFFAR_45,8538,5284,462,283,NA,91.95962408632093,8.04037591367908,4.925165332405151,-3.115210581273929,Swietenia humilis,Timber,0.091817145
SWIEHU,THEOCA_45,20405,2705,544,219,NA,83.2563865804863,16.743613419513697,6.740535549399815,-10.00307787011388,Swietenia humilis,Timber,0.091817145
SWIEHU,COFFAR_85,8589,5161,585,232,NA,89.81900452488688,10.180995475113122,4.03759136790811,-6.143404107205011,Swietenia humilis,Timber,0.091817145
SWIEHU,THEOCA_85,20474,2442,807,150,NA,75.16158818097877,24.838411819021236,4.616805170821792,-20.221606648199444,Swietenia humilis,Timber,0.091817145
SWIEMA,COFFAR_45,6213,7464,635,255,NA,92.15952586739104,7.840474132608964,3.148536856402025,-4.691937276206939,Swietenia macrophylla,Timber,0.920953785
SWIEMA,THEOCA_45,1668,20017,2128,60,NA,90.39060736057802,9.609392639421992,0.27094152178821407,-9.338451117633777,Swietenia macrophylla,Timber,0.920953785
SWIEMA,COFFAR_85,6225,7284,815,243,NA,89.93702926287196,10.06297073712804,3.000370416100753,-7.062600321027287,Swietenia macrophylla,Timber,0.920953785
SWIEMA,THEOCA_85,1682,19037,3108,46,NA,85.96522917137051,14.034770828629487,0.20772183337096412,-13.827048995258522,Swietenia macrophylla,Timber,0.920953785
SYZYJA,COFFAR_45,638,10430,3464,35,NA,75.0683748380596,24.931625161940406,0.2519072981142939,-24.679717863826113,Syzygium jambos,Fruit,0.249019226
SYZYJA,THEOCA_45,5186,14663,3960,64,NA,78.7359716479622,21.264028352037805,0.3436610642753584,-20.920367287762446,Syzygium jambos,Fruit,0.249019226
SYZYJA,COFFAR_85,645,9214,4680,28,NA,66.31639556643155,33.68360443356845,0.20152583849143516,-33.48207859507701,Syzygium jambos,Fruit,0.249019226
SYZYJA,THEOCA_85,5179,13443,5180,71,NA,72.18493261021318,27.815067389786822,0.3812489931804758,-27.43381839660635,Syzygium jambos,Fruit,0.249019226
SYZYMA,COFFAR_45,6647,5666,2183,71,NA,72.18753981398905,27.812460186010956,0.9045738310612816,-26.907886354949675,Syzygium malaccense,Fruit,0.043126235
SYZYMA,THEOCA_45,4991,15075,3743,64,NA,80.10946965671167,19.89053034328834,0.3400999043469019,-19.550430438941437,Syzygium malaccense,Fruit,0.043126235
SYZYMA,COFFAR_85,6662,5156,2693,56,NA,65.6898968021404,34.3101031978596,0.7134666836539687,-33.59663651420563,Syzygium malaccense,Fruit,0.043126235
SYZYMA,THEOCA_85,4942,14374,4444,113,NA,76.384312891912,23.615687108088,0.6004888936124987,-23.0151982144755,Syzygium malaccense,Fruit,0.043126235
TABERO,COFFAR_45,2529,10840,841,357,NA,92.80027394914819,7.199726050851811,3.0562451844876293,-4.143480866364182,Tabebuia rosea,Timber,6.435547147
TABERO,THEOCA_45,2082,20554,540,697,NA,97.44003034038116,2.559969659618849,3.3042571347302547,0.7442874751114057,Tabebuia rosea,Timber,6.435547147
TABERO,COFFAR_85,2594,10428,1253,292,NA,89.27317866621009,10.726821333789916,2.4997859772279774,-8.227035356561938,Tabebuia rosea,Timber,6.435547147
TABERO,THEOCA_85,2045,20438,656,734,NA,96.89011093201859,3.1098890679814164,3.4796624632596944,0.369773395278278,Tabebuia rosea,Timber,6.435547147
TAMAIN,COFFAR_45,7097,5865,331,1274,NA,94.65784377017431,5.342156229825694,20.561652679147837,15.219496449322143,Tamarindus indica,Fruit,0.086252469
TAMAIN,THEOCA_45,4035,17885,348,1605,NA,98.09137278560851,1.9086272143914877,8.802720342236604,6.8940931278451165,Tamarindus indica,Fruit,0.086252469
TAMAIN,COFFAR_85,6622,5842,354,1749,NA,94.28663653970304,5.713363460296965,28.227888960619758,22.514525500322794,Tamarindus indica,Fruit,0.086252469
TAMAIN,THEOCA_85,3475,17928,305,2165,NA,98.327208906927,1.6727910930729994,11.874074480337848,10.201283387264848,Tamarindus indica,Fruit,0.086252469
TERMAM,COFFAR_45,6220,7013,1238,96,NA,84.9957580899285,15.004241910071507,1.1634953338989213,-13.840746576172585,Terminalia amazonia,Timber,0.123814029
TERMAM,THEOCA_45,697,21977,633,566,NA,97.20035382574082,2.7996461742591774,2.503317116320212,-0.29632905793896525,Terminalia amazonia,Timber,0.123814029
TERMAM,COFFAR_85,6214,6585,1666,102,NA,79.80850805962913,20.191491940370867,1.2362137922676038,-18.95527814810326,Terminalia amazonia,Timber,0.123814029
TERMAM,THEOCA_85,708,21895,715,555,NA,96.8376824413976,3.1623175586023886,2.4546660769570985,-0.7076514816452901,Terminalia amazonia,Timber,0.123814029
TERMOB,COFFAR_45,7709,5304,1522,32,NA,77.70290067389394,22.297099326106064,0.46879578083797246,-21.828303545268092,Terminalia oblonga,Timber,0.176678445
TERMOB,THEOCA_45,6085,14330,3318,140,NA,81.19900271985495,18.80099728014506,0.7932910244786946,-18.007706255666367,Terminalia oblonga,Timber,0.176678445
TERMOB,COFFAR_85,7705,5171,1655,36,NA,75.75446820978611,24.245531790213885,0.527395253442719,-23.718136536771166,Terminalia oblonga,Timber,0.176678445
TERMOB,THEOCA_85,5975,14186,3462,250,NA,80.38304623753399,19.616953762466004,1.4165911151405257,-18.200362647325477,Terminalia oblonga,Timber,0.176678445
